Season,Episode,Title,Person1,Person2,Start,End,Duration,Location,Type,Queer,Transactional,NonConsentual,Notes
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,51:55,51:47,00:08,Flashback,"Groping/Touching, Kiss/Kissing",1,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,51:47,51:39,00:08,Flashback,Kiss/Kissing,0,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,47:26,47:05,00:21,Outside,"Groping/Touching, Kiss/Kissing",0,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,45:10,45:01,00:09,Outside,"Groping/Touching, Kiss/Kissing",0,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,44:44,44:34,00:10,Outside,"Groping/Touching, Kiss/Kissing",0,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,39:50,39:48,00:02,Outside,Kiss/Kissing,0,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,38:21,38:19,00:02,Outside,Kiss/Kissing,0,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,36:23,36:22,00:01,Flashback,Kiss/Kissing,1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,36:17,36:10,00:07,Flashback,"Groping/Touching, Kiss/Kissing",1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,36:07,36:06,00:01,Flashback,Kiss/Kissing,1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,36:02,35:58,00:04,Flashback,"Groping/Touching, Kiss/Kissing",1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,35:51,35:39,00:12,Flashback,"Groping/Touching, Kiss/Kissing",1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,1/1/1900 11,35:31,00:06,Flashback,"Groping/Touching, Kiss/Kissing",1,0,0,
1,1,I Wasn't Ready,Larry Bloom,Piper Chapman,30:41,30:38,00:03,Flashback,Kiss/Kissing,0,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,27:38,27:37,00:01,Flashback,Kiss/Kissing,1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,27:13,26:59,00:14,Flashback,Groping/Touching,1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,26:39,26:38,00:01,Flashback,Kiss/Kissing,1,0,0,
1,1,I Wasn't Ready,Alex Vause,Piper Chapman,15:49,15:47,00:02,Flashback,Kiss/Kissing,1,0,0,
1,1,I Wasn't Ready,Lorna Morello,Nicky Nichols,04:48,04:35,00:13,Litchfield,"Groping/Touching, Kiss/Kissing, Penetrative sex (hand)",1,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,34:44,34:42,00:02,Flashback,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,32:25,32:22,00:03,Litchfield,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,32:21,32:20,00:01,Litchfield,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,29:44,29:42,00:02,Litchfield,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,29:33,29:29,00:04,Litchfield,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,29:21,29:18,00:03,Litchfield,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,17:15,17:14,00:01,Flashback,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Larry Bloom,Piper Chapman,16:32,16:17,00:15,Flashback,Kiss/Kissing,0,0,0,
1,2,Tit Punch,Piper Chapman,"Suzanne ""Crazy Eyes"" Warren",02:33,02:25,00:08,Litchfield,Groping/Touching,1,0,1,
1,3,Lesbian Request Denied,Lorna Morello,Nicky Nichols,44:41,44:40,00:01,Litchfield,Groping/Touching,1,0,0,
